,Station,numPurchases,Acquisition Value,State,stateCity,Recorded Deaths
1275,DESOTO PARISH SHERIFF DEPARTMENT,26.0,267302.0,LA,,0.0
1276,DESOTO POLICE DEPARTMENT,19.0,735484.0,TX,TX: Lancaster,3.0
1277,DETROIT POLICE DEPARTMENT,30.0,306577.64,MI,MI: Detroit,12.0
1278,DETROIT POLICE DEPARTMENT SRT,5.0,439696.0,MI,,0.0
1279,DETROIT PUBLIC SCHOOLS POLICE K-12,9.0,192405.0,MI,,0.0
1280,DEUEL COUNTY SHERIFF DEPARTMENT,5.0,2495.0,SD,NE: Big Springs,1.0
1281,DEVALLS BLUFF POLICE DEPARTMENT,1.0,63894.0,AR,,0.0
1282,DEWEY BEACH POLICE DEPARTMENT,24.0,93477.19000000002,DE,,0.0
1283,DEWEY COUNTY SHERIFF DEPARTMENT,11.0,84814.32000000002,SD,,0.0
1284,DEWITT COUNTY SHERIFF DEPARTMENT,15.0,102727.0,TX,,0.0
1285,DEWITT TOWNSHIP POLICE DEPARTMENT,6.0,2994.0,MI,,0.0
1286,DEXTER POLICE DEPARTMENT,13.0,6487.0,MO,,0.0
1287,DIAMONDHEAD POLICE DEPARTMENT,3.0,244944.0,MS,,0.0
1288,DIAMONDVILLE POLICE DEPARTMENT,3.0,414.0,WY,,0.0
1289,DIBERVILLE POLICE DEPARTMENT,1.0,89900.0,MS,,0.0
1290,DICKENS COUNTY SHERIFF DEPARTMENT,1.0,47023.0,TX,,0.0
1291,DICKENSON COUNTY SHERIFF DEPARTMENT,22.0,94063.42000000001,VA,VA: Coeburn,1.0
1292,DICKINSON COUNTY SHERIFF DEPARTMENT,2.0,998.0,IA,,0.0
1293,DICKINSON POLICE DEPARTMENT,3.0,377121.0,ND,ND: Dickinson,1.0
1294,DICKSON COUNTY SHERIFF DEPARTMENT,68.0,866320.3799999999,TN,TN: Cumberland Furnace,1.0
1295,DICKSON POLICE DEPARTMENT,54.0,905268.1799999998,TN,TN: Bon Aqua,1.0
1296,DIERKS POLICE DEPARTMENT,5.0,293.55,AR,,0.0
1297,DIGHTON POLICE DEPARTMENT,6.0,301568.79000000004,MA,,0.0
1298,DILLARD POLICE DEPARTMENT,13.0,68410.13,GA,,0.0
1299,DILLON COUNTY SHERIFF DEPARTMENT,37.0,75525.17,SC,SC: Latta,2.0
1300,DILLON POLICE DEPARTMENT,230.0,791971.9899999992,SC,,0.0
1301,DINWIDDIE COUNTY SHERIFF DEPARTMENT,3.0,775.0,VA,VA: Dinwiddie,1.0
1302,DIST ATTY 7TH JUD COURT LAW ENF,34.0,186259.65000000002,AL,,0.0
1303,DIVERNON  POLICE DEPARTMENT,1.0,120.0,IL,,0.0
1304,DIVIDE COUNTY SHERIFF DEPARTMENT,143.0,1957669.3600000006,ND,,0.0
1305,DIXFIELD POLICE DEPARTMENT,4.0,427.69,ME,,0.0
1306,DIXIE COUNTY SHERIFF DEPARTMENT,9.0,2596.0,FL,FL: Cross City,2.0
1307,DIXIE INN POLICE DEPARTMENT,3.0,1497.0,LA,,0.0
1308,DIXON POLICE DEPARTMENT,39.0,19461.0,IL,,0.0
1309,DNR CONSERV LAW ENF DIV TRIBAL LEA,1.0,200.0,NM,,0.0
1310,DNR PARKS POLICE STATE PARKS ENF,30.0,10164.900000000001,DE,,0.0
1311,DODGE CITY POLICE DEPARTMENT,1.0,65070.0,KS,,0.0
1312,DODGE COUNTY  SHERIFF DEPARTMENT,19.0,5676.97,MN,,0.0
1313,DODGE COUNTY SHERIFF DEPARTMENT,35.0,786415.2,WI,WI: Beaver Dam,1.0
1314,DONA ANA COUNTY SHERIFF DEPARTMENT,6.0,93269.0,NM,NM: Las Cruces,1.0
1315,DONALSONVILLE POLICE DEPARTMENT,10.0,745.6800000000001,GA,,0.0
1316,DONNA POLICE DEPARTMENT,3.0,123183.0,TX,TX: Donna,1.0
1317,DOOLITTLE POLICE DEPARTMENT,3.0,1497.0,MO,,0.0
1318,DOOLY COUNTY SHERIFF DEPARTMENT,3.0,414.0,GA,,0.0
1319,DOOR COUNTY SHERIFF DEPARTMENT,11.0,773523.52,WI,,0.0
1320,DORA POLICE DEPARTMENT,26.0,218095.52000000002,AL,,0.0
1321,DORAVILLE POLICE DEPARTMENT,18.0,866053.26,GA,,0.0
1322,DORCHESTER COUNTY SHERIFF DEPARTMENT,51.0,577390.5600000002,SC,SC: Summerville,1.0
1323,DOTHAN POLICE DEPARTMENT,80.0,594572.6499999999,AL,AL: Dothan,1.0
1324,DOTHAN REGIONAL AIRPORT POLICE LEA,67.0,269761.94000000006,AL,,0.0
1325,DOUGLAS COUNTY SHERIFF DEPARTMENT,224.0,4423907.010000001,WA,WI: Gordon,13.0
1326,DOUGLAS POLICE DEPARTMENT,56.0,585031.84,GA,GA: Douglas,2.0
1327,DOVER MARSHALS OFFICE,4.0,552.0,AR,,0.0
1328,DOVER POLICE DEPARTMENT,17.0,72207.0,TN,DE: Dover,1.0
1329,DOYLESTOWN POLICE DEPARTMENT,5.0,452.13,OH,,0.0
1330,DPS AIRCRAFT,26.0,3588.0,TX,,0.0
1331,DPS ETR  (LEA),2.0,757.58,TX,,0.0
1332,DPS SWAT- TEXAS RANGERS (LEA),92.0,3239550.2199999993,TX,,0.0
1333,DPS-THP  (LEA),7.0,386821.5,TX,,0.0
1334,DRAPER CITY POLICE DEPARTMENT,5.0,2495.0,UT,,0.0
1335,DRESDEN POLICE DEPARTMENT,11.0,804.3900000000001,TN,,0.0
1336,DREXEL POLICE DEPARTMENT,5.0,2495.0,NC,,0.0
1337,DRUMRIGHT POLICE DEPARTMENT,6.0,597.42,OK,,0.0
1338,DRY RIDGE POLICE DEPARTMENT,7.0,906.0,KY,,0.0
1339,DUBACH POLICE DEPARTMENT,2.0,998.0,LA,,0.0
1340,DUBLIN BOROUGH POLICE DEPARTMENT,3.0,1497.0,PA,,0.0
1341,DUBLIN POLICE DEPARTMENT,129.0,238336.72999999995,GA,CA: Dublin,1.0
1342,DUBUQUE POLICE DEPARTMENT,8.0,1104.0,IA,,0.0
1343,DUENWEG POLICE DEPARTMENT,1.0,3148.0,MO,,0.0
1344,DULUTH POLICE DEPARTMENT,55.0,43772.03,MN,MN: Duluth,1.0
1345,DUMONT POLICE,17.0,18393.72,NJ,,0.0
1346,DUNCAN POLICE DEPARTMENT,2.0,776376.0,OK,SC: Duncan,1.0
1347,DUNCANVILLE POLICE DEPARTMENT,56.0,785954.5,TX,TX: Duncanville,3.0
1348,DUNDEE POLICE DEPARTMENT,36.0,865113.9399999997,MI,,0.0
1349,DUNELLEN POLICE DEPARTMENT,6.0,82674.0,NJ,,0.0
1350,DUNKIRK POLICE DEPARTMENT,11.0,1031.55,IN,,0.0
1351,DUNKLIN COUNTY SHERIFF DEPARTMENT,12.0,87112.0,MO,MO: Clarkton,1.0
1352,DUNLAP POLICE DEPARTMENT,3.0,145669.0,TN,,0.0
1353,DUNMORE POLICE DEPARTMENT,1.0,41061.0,PA,,0.0
1354,DUNN COUNTY SHERIFF DEPARTMENT,29.0,1054829.0,WI,,0.0
1355,DUNN POLICE DEPARTMENT,21.0,65718.75,NC,,0.0
1356,DUPAGE COUNTY SHERIFF DEPARTMENT,48.0,756930.0,IL,IL: Villa Park,1.0
1357,DUPLIN COUNTY SHERIFF DEPARTMENT,62.0,989109.2499999999,NC,,0.0
1358,DUPO POLICE DEPARTMENT,1.0,41061.0,IL,,0.0
1359,DURAND POLICE DEPARTMENT,1.0,499.0,MI,,0.0
1360,DURANGO POLICE DEPARTMENT,5.0,77928.0,CO,,0.0
1361,DURHAM POLICE DEPARTMENT,10.0,2824.0,NC,NC: Durham,7.0
1362,DUTCHESS COUNTY SHERIFF DEPARTMENT,1.0,658000.0,NY,,0.0
1363,DUXBURY POLICE DEPARTMENT,7.0,14994.0,MA,,0.0
1364,DYER COUNTY SHERIFF DEPARTMENT,15.0,898153.71,TN,TN: Dyersburg,1.0
1365,DYER POLICE DEPARTMENT,24.0,4619.26,TN,,0.0
1366,DYERSBURG POLICE DEPARTMENT,4.0,1274.0,TN,,0.0
1367,EAGLE BEND POLICE DEPARTMENT,1.0,499.0,MN,,0.0
1368,EAGLE COUNTY SHERIFF DEPARTMENT,5.0,65622.0,CO,,0.0
1369,EAGLE LAKE POLICE DEPARTMENT,18.0,129279.74,TX,,0.0
1370,EAGLEVILLE POLICE DEPARTMENT,7.0,92578.13,TN,,0.0
1371,EASLEY POLICE DEPARTMENT,15.0,8732.599999999999,SC,,0.0
1372,EAST ALTON POLICE DEPARTMENT,9.0,185910.11,IL,,0.0
1373,EAST BATON ROUGE DAS OFFICE,3.0,1497.0,LA,,0.0
1374,EAST BATON ROUGE PARISH SHERIFF,221.0,420489.91000000015,LA,,0.0
1375,EAST BRUNSWICK POLICE DEPARTMENT,7.0,981124.69,NJ,,0.0
1376,EAST CARONDELET POLICE DEPARTMENT,24.0,101023.75000000001,IL,,0.0
1377,EAST CENTRAL UNIV POLICE HI_ED,1.0,41061.0,OK,,0.0
1378,EAST CLEVELAND POLICE DEPARTMENT,49.0,52192.359999999986,OH,OH: Cleveland,1.0
1379,EAST DUBLIN POLICE DEPARTMENT,8.0,1667.42,GA,,0.0
1380,EAST DUBUQUE POLICE DEPARTMENT,1.0,47023.0,IL,,0.0
1381,EAST ELLIJAY POLICE DEPARTMENT,16.0,4179.97,GA,,0.0
1382,EAST FALLOWFIELD TOWNSHIP POLICE,1.0,13.69,PA,,0.0
1383,EAST FRANKLIN TOWNSHIP POLICE DEPARTMENT,1.0,499.0,PA,,0.0
1384,EAST GALESBURG POLICE DEPARTMENT,4.0,675.13,IL,,0.0
1385,EAST GRAND FORKS POLICE DEPARTMENT,11.0,3323.0,MN,,0.0
1386,EAST GREENWICH POLICE DEPARTMENT,22.0,19798.84,RI,,0.0
1387,EAST GREENWICH TOWNSHIP POLICE,4.0,260656.0,NJ,,0.0
1388,EAST HAMPTON POLICE DEPARTMENT,25.0,75926.44999999998,CT,,0.0
1389,EAST HAMPTON TOWN POLICE,5.0,174199.91999999998,NY,,0.0
1390,EAST HANOVER POLICE DEPARTMENT,19.0,14595.06,NJ,,0.0
1391,EAST HARTFORD POLICE DEPARTMENT,44.0,41061.0,CT,CT: East Hartford,2.0
1392,EAST HAVEN POLICE DEPARTMENT,10.0,3185.0,CT,,0.0
1393,EAST HAZEL CREST POLICE DEPARTMENT,5.0,65890.0,IL,,0.0
1394,EAST HEMPFIELD TOWNSHIP POLICE DEPARTMENT,1.0,0.0,PA,,0.0
1395,EAST KINGSTON POLICE DEPARTMENT,14.0,377214.41,NH,,0.0
1396,EAST LANSING POLICE,2.0,457.34000000000003,MI,,0.0
1397,EAST LYME POLICE DEPARTMENT,7.0,966.0,CT,,0.0
1398,EAST MOLINE POLICE DEPARTMENT,8.0,1826.0,IL,,0.0
1399,EAST PALO ALTO POLICE DEPARTMENT,16.0,215542.22999999998,CA,,0.0
1400,EAST PENNSBORO TOWNSHIP POLICE,1.0,2118.23,PA,,0.0
1401,EAST PEORIA POLICE DEPARTMENT,11.0,77101.0,IL,,0.0
1402,EAST PROVIDENCE POLICE DEPARTMENT,14.0,104483.64,RI,,0.0
1403,EAST RIDGE POLICE DEPARTMENT,10.0,741088.0,TN,TN: Chattanooga,1.0
1404,EAST RUTHERFORD POLICE DEPARTMENT,2.0,103688.0,NJ,,0.0
1405,EAST TAWAKONI POLICE DEPARTMENT,1.0,335.0,TX,,0.0
1406,EAST WENATCHEE POLICE DEPARTMENT,6.0,2272.0,WA,WA: East Wenatchee,1.0
1407,EAST WINDSOR POLICE DEPARTMENT,24.0,11976.0,CT,,0.0
1408,EASTAMPTON TWP POLICE DEPARTMENT,3.0,215564.0,NJ,,0.0
1409,EASTERN CONNECTICUT STATE UNIV PD HI_ED,21.0,10479.0,CT,,0.0
1410,EASTERN OK STATE COLLEGE PD HI_ED,2.0,637.0,OK,,0.0
1411,EASTERN PIKE REGIONAL POLICE DEPARTMENT,2.0,240.0,PA,,0.0
1412,EASTERN WAYNE CO REG SRT,2.0,733596.67,MI,,0.0
1413,EASTLAND POLICE DEPARTMENT,13.0,420490.63,TX,,0.0
1414,EASTMAN POLICE DEPARTMENT,13.0,1368.8400000000001,GA,,0.0
1415,EASTON POLICE,3.0,41970.32,MA,,0.0
1416,EASTON POLICE DEPARTMENT,2.0,998.0,IL,,0.0
1417,EATON COUNTY SHERIFF DEPARTMENT,43.0,926816.61,MI,MI: Eaton Rapids Township,2.0
1418,EATON POLICE DEPARTMENT,24.0,52554.84,OH,,0.0
1419,EATON RAPIDS POLICE DEPARTMENT,6.0,19864.3,MI,,0.0
1420,EATONTOWN POLICE DEPARTMENT,4.0,182477.0,NJ,,0.0
1421,EATONVILLE POLICE DEPARTMENT,20.0,5894.26,FL,,0.0
1422,EAU CLAIRE COUNTY SHERIFF DEPARTMENT,56.0,732586.76,WI,WI: Eau Claire,2.0
1423,EAU CLAIRE POLICE  DEPARTMENT,21.0,667980.0,WI,,0.0
1424,EAU CLAIRE VILLAGE POLICE DEPARTMENT,3.0,695.71,MI,,0.0
1425,ECHOLS COUNTY SHERIFF DEPARTMENT,1.0,41061.0,GA,,0.0
1426,ECTOR COUNTY ISD POLICE K-12,5.0,600.0,TX,,0.0
1427,ECTOR COUNTY SHERIFF DEPARTMENT,19.0,662650.0,TX,TX: Odessa,3.0
1428,EDCOUCH POLICE DEPARTMENT,5.0,92627.21,TX,,0.0
1429,EDDY COUNTY SHERIFF DEPARTMENT,4.0,123291.0,ND,,0.0
1430,EDEN POLICE DEPARTMENT,11.0,5489.0,NC,,0.0
1431,EDEN PRAIRIE POLICE DEPARTMENT,20.0,47814.39,MN,,0.0
1432,EDEN VALLEY POLICE DEPARTMENT,3.0,695.71,MN,,0.0
1433,EDENTON POLICE DEPARTMENT,25.0,10019.26,NC,,0.0
1434,EDGAR COUNTY SHERIFF DEPARTMENT,6.0,828.0,IL,,0.0
1435,EDGECOMBE COUNTY SHERIFF DEPARTMENT,9.0,13351.79,NC,NC: Macclesfield,1.0
1436,EDGEFIELD COUNTY SHERIFF DEPARTMENT,32.0,26030.0,SC,,0.0
1437,EDGERTON POLICE DEPARTMENT,38.0,86512.15000000002,OH,,0.0
1438,EDGEWATER POLICE DEPARTMENT,3.0,224567.0,NJ,FL: Edgewater,2.0
1439,EDGEWOOD POLICE DEPARTMENT,25.0,332389.39,TX,,0.0
1440,EDINA POLICE DEPARTMENT,10.0,4990.0,MN,,0.0
1441,EDINBURG POLICE DEPARTMENT,117.0,858410.0,TX,TX: Edinburg,2.0
1442,EDINBURG SCHOOL DIST POLICE K-12,20.0,289855.86,TX,,0.0
1443,EDINBURGH POLICE DEPARTMENT,12.0,5988.0,IN,,0.0
1444,EDISON POLICE DEPARTMENT,7.0,149874.94,NJ,,0.0
1445,EDISTO BEACH POLICE DEPARTMENT,8.0,2144.35,SC,,0.0
1446,EDMONSON COUNTY SHERIFF DEPARTMENT,19.0,323066.69999999995,KY,,0.0
1447,EDMONTON POLICE DEPARTMENT,5.0,690.0,KY,,0.0
1448,EDMUNDS COUNTY SHERIFF DEPARTMENT,4.0,1996.0,SD,,0.0
1449,EDON POLICE DEPARTMENT,4.0,1274.0,OH,,0.0
1450,EDWARDSPORT MARSHALS OFFICE,2.0,41560.0,IN,,0.0
1451,EDWARDSVILLE POLICE DEPARTMENT,25.0,11679.0,IL,,0.0
1452,EFFINGHAM COUNTY SHERIFF DEPARTMENT,65.0,8947.239999999998,IL,GA: Savannah,3.0
1453,EFFINGHAM POLICE DEPARTMENT,2.0,258.0,NH,,0.0
1454,EGG HARBOR CITY POLICE DEPARTMENT,4.0,168076.37,NJ,,0.0
1455,EGG HARBOR TOWNSHIP POLICE DEPARTMENT,5.0,516612.0,NJ,,0.0
1456,EHOVE POLICE ACADEMY,2.0,100916.0,OH,,0.0
1457,EL CAMINO COLLEGE POLICE DEPARTMENT HI_ED,21.0,233661.8,CA,,0.0
1458,EL DORADO COUNTY SHERIFF DEPARTMENT,30.0,14970.0,CA,,0.0
1459,EL DORADO POLICE DEPARTMENT,15.0,5590.0,KS,,0.0
1460,EL DORADO SPRINGS POLICE DEPARTMENT,21.0,84108.0,MO,,0.0
1461,EL MIRAGE POLICE DEPARTMENT,1.0,1558.0,AZ,AZ: Youngtown,1.0
1462,EL MONTE POLICE DEPARTMENT,10.0,955144.76,CA,CA: El Monte,4.0
1463,EL PASO COUNTY SHERIFF DEPARTMENT,157.0,409171.0,TX,CO: Colorado Springs,4.0
1464,EL PASO POLICE DEPARTMENT,29.0,173518.0,TX,TX: El Paso,15.0
1465,EL SEGUNDO POLICE DEPARTMENT,3.0,64170.0,CA,,0.0
1466,ELBA POLICE DEPARTMENT,18.0,4869.28,AL,,0.0
1467,ELBERFELD POLICE DEPARTMENT,2.0,998.0,IN,,0.0
1468,ELBERT COUNTY SHERIFF DEPARTMENT,28.0,700970.3200000001,GA,CO: Kiowa,1.0
1469,ELBERTA POLICE DEPARTMENT,21.0,166632.69,AL,,0.0
1470,ELBERTON POLICE DEPARTMENT,10.0,15748.55,GA,,0.0
1471,ELBOW LAKE POLICE DEPARTMENT,1.0,499.0,MN,,0.0
1472,ELBURN POLICE DEPARTMENT,10.0,4990.0,IL,,0.0
1473,ELDON POLICE DEPARTMENT,14.0,7562.0,MO,,0.0
1474,ELGIN POLICE DEPARTMENT,89.0,174112.0999999999,TX,IL: Elgin,1.0
1475,ELIDA POLICE DEPARTMENT,1.0,50458.0,NM,,0.0
1476,ELIOT POLICE DEPARTMENT,4.0,420.20000000000005,ME,,0.0
1477,ELIZABETH CITY POLICE DEPARTMENT,10.0,112682.74,NC,,0.0
1478,ELIZABETH FIRE PROTECT DIST,2.0,131270.0,CO,,0.0
1479,ELIZABETH POLICE DEPARTMENT,17.0,151754.55000000002,NJ,NJ: Elizabeth,1.0
1480,ELIZABETHTON POLICE DEPARTMENT,6.0,1189.0,TN,TN: Elizabethton,3.0
1481,ELIZABETHTOWN POLICE DEPARTMENT,1.0,89900.0,IL,KY: Elizabethtown,2.0
1482,ELK GROVE POLICE DEPARTMENT,70.0,183925.55,CA,CA: Elk Grove,2.0
1483,ELK POINT POLICE DEPARTMENT,17.0,4996.79,SD,,0.0
1484,ELK RIVER POLICE DEPARTMENT,80.0,1400774.8399999992,MN,,0.0
1485,ELKADER POLICE DEPARTMENT,4.0,877.0,IA,,0.0
1486,ELKHART COUNTY SHERIFF DEPARTMENT,45.0,21914.28,IN,,0.0
1487,ELKHART POLICE DEPARTMENT,15.0,690606.82,IN,IN: Elkhart,5.0
1488,ELKINS POLICE DEPARTMENT,98.0,232867.01,WV,,0.0
1489,ELKO POLICE DEPARTMENT,41.0,829205.0599999999,NV,NV: Elko,1.0
1490,ELKTON POLICE DEPARTMENT,14.0,2978.42,TN,KY: Elkton,1.0
1491,ELLENDALE POLICE DEPARTMENT,1.0,499.0,ND,,0.0
1492,ELLENSBURG POLICE DEPARTMENT,6.0,67565.0,WA,,0.0
1493,ELLETTSVILLE POLICE DEPARTMENTMENT,15.0,5680.0,IN,,0.0
1494,ELLIJAY POLICE DEPARTMENT,28.0,109107.07,GA,,0.0
1495,ELLIS COUNTY SHERIFF DEPARTMENT,12.0,1169.55,OK,KS: Plainville,1.0
1496,ELLISVILLE POLICE DEPARTMENT,5.0,41541.0,MO,,0.0
1497,ELLSWORTH CORRECTIONAL FACILITY,16.0,1920.0,KS,,0.0
1498,ELLSWORTH POLICE DEPARTMENT,15.0,124205.89000000001,WI,,0.0
1499,ELM SPRINGS AR POLICE DEPARTMENT,16.0,57550.280000000006,AR,,0.0
1500,ELMENDORF POLICE DEPARTMENT,15.0,74122.26,TX,,0.0
1501,ELMORE COUNTY  SHERIFF DEPARTMENT,2.0,137527.0,AL,,0.0
1502,ELMORE POLICE DEPARTMENT,18.0,4524.55,OK,,0.0
1503,ELMWOOD PLACE POLICE DEPARTMENT,31.0,57051.54,OH,,0.0
1504,ELMWOOD POLICE DEPARTMENT,1.0,499.0,WI,,0.0
1505,ELOY POLICE DEPARTMENT,7.0,64899.0,AZ,,0.0
1506,ELSA POLICE DEPARTMENT,33.0,109020.65000000007,TX,,0.0
1507,EMANUEL COUNTY SHERIFF DEPARTMENT,15.0,117215.89000000001,GA,,0.0
1508,EMERSON POLICE DEPARTMENT,7.0,19353.91,NJ,GA: Catersville,1.0
1509,EMMET COUNTY SHERIFF DEPARTMENT,30.0,5918.98,IA,,0.0
1510,EMMETSBURG POLICE DEPARTMENT,2.0,216.0,IA,,0.0
1511,EMMETT POLICE DEPARTMENT,18.0,5776.84,ID,,0.0
1512,EMMETT TWP DEPARTMENT PUBLIC SAFETY,12.0,5212.0,MI,,0.0
1513,EMORY POLICE DEPARTMENT,17.0,59892.34,TX,,0.0
1514,EMPIRE POLICE DEPARTMENT,12.0,1254.96,OH,,0.0
1515,EMPORIA POLICE DEPARTMENT,10.0,1236.0,KS,,0.0
1516,ENCINAL POLICE DEPARTMENT,5.0,44936.58,TX,,0.0
1517,ENDICOTT POLICE DEPARTMENT,7.0,121231.29,NY,,0.0
1518,ENERGY POLICE DEPARTMENT,23.0,102949.65000000001,IL,,0.0
1519,ENFIELD POLICE DEPARTMENT,7.0,42275.0,NC,NC: Enfield,1.0
1520,ENGLAND POLICE DEPARTMENT,10.0,4990.0,AR,AR: England,1.0
1521,ENGLEWOOD CLIFFS POLICE DEPARTMENT,5.0,2495.0,NJ,,0.0
1522,ENGLEWOOD POLICE DEPARTMENT,120.0,43677.14000000002,TN,OH: Englewood,2.0
1523,ENGLISHTOWN POLICE DEPARTMENT,1.0,41061.0,NJ,,0.0
1524,ENID POLICE DEPARTMENT,16.0,696485.0,OK,OK: Enid,3.0
1525,ENIGMA POLICE DEPARTMENT,2.0,39470.09,GA,,0.0
1526,ENNIS POLICE DEPARTMENT,10.0,4990.0,TX,,0.0
1527,EPHRATA POLICE DEPARTMENT,7.0,64722.0,WA,,0.0
1528,EPPING POLICE DEPARTMENT,36.0,53700.0,NH,,0.0
1529,ERATH COUNTY SHERIFF DEPARTMENT,1.0,335.0,TX,TX: Three Way,1.0
1530,ERIE COUNTY SHERIFF DEPARTMENT,7.0,174814.52000000002,NY,,0.0
1531,ERIN POLICE DEPARTMENT,11.0,361424.70999999996,TN,,0.0
1532,ERLANGER POLICE DEPARTMENT,2.0,93966.0,KY,,0.0
1533,ESCALON POLICE DEPARTMENT,4.0,1996.0,CA,CA: Escalon,1.0
1534,ESCAMBIA COUNTY SHERIFF DEPARTMENT,19.0,233987.45,FL,FL: Pensacola,9.0
1535,ESCANABA PUBLIC SAFETY DEPARTMENT,36.0,48253.07,MI,,0.0
1536,ESCONDIDO POLICE DEPARTMENT,80.0,108216.06999999999,CA,CA: Escondido,3.0
1537,ESPANOLA POLICE DEPARTMENT,2.0,34637.0,NM,,0.0
1538,ESSEX COUNTY SHERIFF DEPARTMENT,22.0,441947.41,VA,NJ: Newark,2.0
1539,ESSEXVILLE PUBLIC SAFETY DEPARTMENT,12.0,16093.799999999994,MI,,0.0
1540,ESTES PARK POLICE DEPARTMENT,13.0,194880.36,CO,,0.0
1541,ESTHERVILLE POLICE DEPARTMENT,21.0,93894.03,IA,,0.0
1542,ESTILL COUNTY SHERIFF,5.0,205305.0,KY,,0.0
1543,ESTILL POLICE DEPARTMENT,22.0,59371.59,SC,,0.0
1544,ETHRIDGE POLICE DEPARTMENT,25.0,235102.38999999998,TN,,0.0
1545,ETNA POLICE DEPARTMENT,2.0,998.0,CA,,0.0
1546,ETOWAH COUNTY DTF,2.0,82122.0,AL,,0.0
1547,ETOWAH COUNTY SHERIFF DEPARTMENT,22.0,1610935.58,AL,AL: Gadsden,1.0
1548,ETOWAH POLICE DEPARTMENT,6.0,2994.0,TN,TN: Etowah,1.0
1549,EUBANK POLICE DEPARTMENT,3.0,42559.0,KY,,0.0
1550,EUCLID POLICE DEPARTMENT,2.0,348.69,OH,OH: Euclid,1.0
1551,EUFAULA POLICE DEPARTMENT,8.0,3828.0,AL,AL: Eufaula,1.0
1552,EUGENE POLICE DEPARTMENT,4.0,339686.93,OR,OR: Eugene,5.0
1553,EUHARLEE POLICE DEPARTMENT,9.0,1964.0,GA,GA: Euharlee,1.0
1554,EUREKA POLICE DEPARTMENT,63.0,67001.65,MT,CA: Eureka,1.0
1555,EUREKA SPRINGS POLICE DEPARTMENT,4.0,516.0,AR,,0.0
1556,EUSTIS POLICE DEPARTMENT,6.0,263000.0,FL,FL: Leesburg,2.0
1557,EVANGELINE PARISH SHERIFF DEPARTMENT,20.0,9980.0,LA,LA: Mamou,1.0
1558,EVANS POLICE DEPARTMENT,2.0,151261.0,NY,CO: Evans,2.0
1559,EVANSTON POLICE DEPARTMENT,20.0,9980.0,IL,,0.0
1560,EVANSVILLE POLICE DEPARTMENT,1.0,138.0,IL,IN: Evansville,5.0
1561,EVANSVILLE POLICE DEPARTMENTMENT,82.0,492817.27,IN,,0.0
1562,EVARTS POLICE DEPARTMENT,1.0,41061.0,KY,,0.0
1563,EVERETT POLICE DEPARTMENT,13.0,133292.0,MA,MA: Everett,3.0
1564,EVERGREEN STATE COLLEGE PD HI_ED,3.0,449.14,WA,,0.0
1565,EVERMAN POLICE DEPARTMENT,3.0,1136.0,TX,,0.0
1566,EVERTON POLICE DEPARTMENT,1.0,120.0,MO,,0.0
1567,EVESHAM POLICE DEPARTMENT,6.0,2994.0,NJ,,0.0
1568,EWING POLICE DEPARTMENT,15.0,43838.13,NJ,,0.0
1569,EXETER BORO POLICE DEPARTMENT,2.0,998.0,PA,,0.0
1570,EXETER POLICE DEPARTMENT,3.0,144749.0,CA,,0.0
1571,FAIR GROVE POLICE DEPARTMENT,1.0,41061.0,MO,,0.0
1572,FAIR HAVEN BOROUGH POLICE DEPARTMENT,1.0,41061.0,NJ,,0.0
1573,FAIRBANKS POLICE DEPARTMENT,1.0,689000.0,AK,AK: Fairbanks,3.0
1574,FAIRBORN POLICE DEPARTMENT,16.0,5851.0,OH,OH: Fairborn,1.0
1575,FAIRBURN POLICE DEPARTMENT,27.0,2648.5200000000004,GA,,0.0
1576,FAIRBURY POLICE DEPARTMENT,6.0,2994.0,NE,,0.0
1577,FAIRFAX CITY POLICE DEPARTMENTMENT,4.0,1996.0,VA,,0.0
1578,FAIRFAX COUNTY SHERIFF DEPARTMENT,66.0,32934.0,VA,VA: Fairfax,2.0
1579,FAIRFAX POLICE DEPARTMENT,49.0,184955.55,OH,,0.0
1580,FAIRFIELD BAY POLICE DEPARTMENT,1.0,49897.0,AR,,0.0
1581,FAIRFIELD COUNTY SHERIFF DEPARTMENT,248.0,1779971.9499999993,SC,,0.0
1582,FAIRFIELD POLICE DEPARTMENT,106.0,867214.27,ME,CA: Fairfield,6.0
1583,FAIRFIELD TWP POLICE DEPARTMENT,17.0,8317.0,OH,,0.0
1584,FAIRHAVEN POLICE DEPARTMENT,7.0,3493.0,MA,,0.0
1585,FAIRHAVEN TOWNSHIP POLICE DEPARTMENT,1.0,499.0,MI,,0.0
1586,FAIRHOPE POLICE DEPARTMENT,6.0,9587.060000000001,AL,AL: Fairhope,1.0
1587,FAIRLAWN POLICE DEPARTMENT,7.0,21994.0,OH,,0.0
1588,FAIRMONT CITY POLICE DEPARTMENT,24.0,6864.490000000001,IL,,0.0
1589,FAIRMONT POLICE DEPARTMENT,102.0,22972.049999999996,WV,MN: Fairmont,1.0
1590,FAIRMOUNT POLICE DEPARTMENT,1.0,155799.0,GA,,0.0
1591,FAIRPLAY POLICE DEPARTMENT,10.0,15546.0,CO,,0.0
1592,FAIRPORT HARBOR POLICE DEPARTMENT,2.0,998.0,OH,,0.0
1593,FAIRVIEW HEIGHTS POLICE DEPARTMENT,8.0,3992.0,IL,,0.0
